"DateTime","Players","Players Trend","Twitch Viewers"
"2022-06-04 11:10:00",220298,213417.1147055584,52337
"2022-06-04 11:20:00",225764,213521.18141285196,53043
"2022-06-04 11:30:00",231418,213619.88366936607,54159
"2022-06-04 11:40:00",240292,213720.56051685684,53992
"2022-06-04 11:50:00",249131,213813.47845741763,51373
"2022-06-04 12:00:00",257976,213889.09444031303,53464
"2022-06-04 12:10:00",267534,213955.83740979462,53386
"2022-06-04 12:20:00",277309,214014.8486062911,54927
"2022-06-04 12:30:00",285930,214065.6143061754,56718
"2022-06-04 12:40:00",294080,214120.46056781258,60150
"2022-06-04 12:50:00",301820,214178.29418691134,64397
"2022-06-04 13:00:00",309580,214234.50149424345,67344
"2022-06-04 13:10:00",314868,214276.33393585088,68127
"2022-06-04 13:20:00",323993,214331.03758676257,70824
"2022-06-04 13:30:00",329808,214366.99229810503,70613
"2022-06-04 13:40:00",335426,214396.53850947504,71298
"2022-06-04 13:50:00",339399,214415.15058461417,71122
"2022-06-04 14:00:00",341737,214418.50583581234,72056
"2022-06-04 14:10:00",344390,214407.88681278581,72732
"2022-06-04 14:20:00",344751,214363.60446964696,72499
"2022-06-04 14:30:00",343971,214309.85574009814,74533
"2022-06-04 14:40:00",341216,214235.30078017415,72601
"2022-06-04 14:50:00",339510,214140.00822178158,74364
"2022-06-04 15:00:00",334209,214012.711576599,74984
"2022-06-04 15:10:00",327035,213849.1663154851,74338
"2022-06-04 15:20:00",319953,213645.76755563825,77158
"2022-06-04 15:30:00",312418,213420.27400773985,77725
"2022-06-04 15:40:00",304536,213178.4104211426,76817
"2022-06-04 15:50:00",296860,212903.87684542508,76685
"2022-06-04 16:00:00",287710,212615.0925673443,76972
"2022-06-04 16:10:00",277372,212316.93475252032,76798
"2022-06-04 16:20:00",267942,212015.01336211653,75652
"2022-06-04 16:30:00",259850,211720.6169606953,73687
"2022-06-04 16:40:00",252183,211432.3937985458,70474
"2022-06-04 16:50:00",245056,211157.35477951312,67750
"2022-06-04 17:00:00",238292,210894.1338828294,69195
"2022-06-04 17:10:00",228198,210637.01848867966,67168
"2022-06-04 17:20:00",220301,210409.36124194355,67107
"2022-06-04 17:30:00",213691,210202.60121260953,69166
"2022-06-04 17:40:00",208003,210013.4230051507,70081
"2022-06-04 17:50:00",202580,209837.60378449847,69394
"2022-06-04 18:00:00",197174,209676.1237915221,70880
"2022-06-04 18:10:00",191956,209533.67041260403,72841
"2022-06-04 18:20:00",187495,209405.28270120648,72383
"2022-06-04 18:30:00",183401,209291.48959194077,71804
"2022-06-04 18:40:00",179652,209193.83374648826,74571
"2022-06-04 18:50:00",175978,209100.1137587452,75958
"2022-06-04 19:00:00",172356,209016.63291191545,74832
"2022-06-04 19:10:00",168364,208941.99676017743,74021
"2022-06-04 19:20:00",165282,208875.95680466044,67314
"2022-06-04 19:30:00",162495,208820.00849721814,66518
"2022-06-04 19:40:00",159000,208770.82800363583,67449
"2022-06-04 19:50:00",155721,208736.73469949875,70333
"2022-06-04 20:00:00",152657,208714.52385969268,65147
"2022-06-04 20:10:00",147718,208700.6404623203,67529
"2022-06-04 20:20:00",144288,208707.06976119653,68011
"2022-06-04 20:30:00",150357,208733.1877169063,91236
